State,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984
Nevada,61864,59456,58003,55123,52954,55979,51863,52637,59094,60344,64004,65629,65273,62139,62905,61840,62928,64552,66909,62683,61385,60805,61617,59227,60296,61457,56135,59386,59839,57529,57267,56992,57503,51942,59500
New Hampshire,81346,77474,79799,80208,77928,74607,74310,73714,76907,75240,77369,82041,77368,73450,75712,76050,77433,72980,74466,69629,69417,64160,63003,64294,59244,65147,69379,64967,76249,73591,70860,68570,67003,58925,59819
New Jersey,74176,72977,71645,72452,69270,68836,73075,69751,72677,75998,76352,73460,84970,81678,73660,76704,76379,73606,73704,75191,76934,75151,75891,72095,71069,69498,68612,72209,72379,76705,74261,72605,69562,69139,64117
New Mexico,48283,46713,50699,47822,49568,43368,47580,46974,52093,51084,49223,53850,49974,50201,52721,48045,49629,47094,51314,49247,48704,47083,40107,42661,45225,45917,45495,47852,46788,44317,39489,44016,43527,45579,47622
New York,67274,63043,64288,61480,57662,53949,52243,56657,57456,58915,58996,59421,60204,60808,59500,58560,58740,59876,59577,60458,57738,56022,56613,54211,53619,54392,54627,57325,59032,61756,59174,55945,54889,52756,50846
North Carolina,53369,50755,56259,53840,49672,50030,45530,50581,50588,49165,50191,52827,49686,54208,53622,51021,51110,54257,56029,56323,55336,56088,56919,52489,50619,49455,48857,48417,49199,51776,49965,48261,47949,47873,47481
North Dakota,66505,61634,62977,60854,64479,63867,61103,63063,58870,58749,58026,57309,51246,54383,52265,55306,50669,50889,52635,49382,46791,49548,50314,47746,47533,48251,47428,46684,47209,49468,49304,47870,47175,47324,47947
Ohio,61633,62167,56490,56494,52708,54793,48622,49957,52961,53826,54873,59609,57305,56975,57376,59562,59745,59408,62821,59702,60102,56548,54471,57351,53545,53685,55248,53712,56083,56903,56770,54649,55086,56182,53376
Oklahoma,54434,53147,53307,49897,50113,49841,53040,54217,49749,53825,53910,52466,48488,48523,52790,49136,51030,50627,47423,49412,52076,49063,43866,43186,45369,45062,44482,45909,45564,46405,48434,45994,45946,47324,48817
Oregon,69165,64021,61879,64478,62509,52905,56730,57653,58404,57603,60476,60989,58792,56919,54629,56986,58510,58680,62144,61410,60321,58290,56744,59703,52875,56865,56168,54433,54715,55939,56786,53091,54336,48862,49397
Pennsylvania,64524,62779,63809,64006,58579,59552,56871,55845,55763,56517,60096,58805,60523,59678,58776,58759,59484,61845,61671,57085,60241,58713,55796,56667,53900,53188,52571,54752,54199,56254,54727,53909,52217,51056,46966
Rhode Island,62266,66995,64383,59038,62252,60812,61431,54864,59582,60578,62246,65814,67088,63782,63879,61192,59371,65007,61702,64585,62821,54456,59133,58037,53668,57502,53538,55598,59736,59066,61071,59991,58212,54957,49888
South Carolina,57444,55866,56858,49137,47702,47035,48650,44850,48127,48221,49285,53677,49461,51854,51560,52663,52925,53652,54936,55125,51366,53619,55422,47716,50168,44707,48517,49516,53695,46662,52253,53114,48184,44715,46881
South Dakota,59463,58301,60116,58364,56328,57670,54144,52838,52344,53764,60328,56354,56715,55620,54780,54090,53011,56403,53335,54167,50623,46470,47206,48548,49978,47597,46197,44425,45914,47270,45624,44849,43643,40488,44803
Tennessee,56060,56654,53727,50165,46415,46817,47110,47306,44541,47535,46417,50013,50804,50792,50735,51355,51831,50875,49856,55216,52638,47944,49227,47624,48140,43075,42782,44089,42216,44335,42682,44908,40042,39676,38739
Texas,59785,61557,60844,59856,57201,55503,56896,54879,54554,55699,54353,55911,54068,53391,55166,53747,56196,58093,56456,58491,55251,54891,52875,52588,51696,49296,49177,50003,52747,50756,51086,52419,52996,52988,53148
Utah,77067,71490,70613,70227,67296,65913,63924,62092,65443,68623,73115,64987,68202,70651,67791,67439,66991,67309,69529,69621,68400,66941,59216,59877,60035,61409,60257,50513,56324,60229,53849,56252,57644,56325,53224
Vermont,70066,65234,63660,63058,64455,70735,60901,58029,64551,61381,59283,57534,64897,65355,63071,59208,60186,57999,57896,62869,60792,54857,51734,55518,60180,53308,57625,52567,58110,61362,59324,53890,53954,58025,52118
Virginia,77151,72537,69535,65169,70239,71160,70818,70062,69675,70981,72469,71824,71312,66915,68151,74977,69468,71431,68964,69081,66941,67226,62690,59454,63281,62519,67201,65156,65538,66897,66814,63604,65176,63446,61229
Washington,79726,73284,73573,71271,62714,69017,68139,63610,64822,70853,66210,70512,68321,65280,66527,65020,63243,60411,62182,68749,73220,69738,58637,58380,56366,61184,59639,61249,60005,62668,66157,57928,58960,53562,57748
West Virginia,50573,48102,46412,45389,41993,46502,47721,46794,49372,47504,44420,51101,47965,46976,44473,44840,41094,42188,43006,44293,41232,43018,40365,40837,39609,38475,35662,41735,41366,42503,39606,36486,36111,35670,38880
Wisconsin,62629,65029,62593,58745,61665,55849,58159,58248,58114,60112,59860,62253,64536,57552,60943,63324,64250,64471,65929,69042,63811,61965,63953,67222,59484,54511,58598,56134,57387,57103,60525,55913,57970,51879,47882
Wyoming,62539,60987,60513,64575,59128,72817,63016,60991,60249,61559,62359,59178,58730,57639,60497,58241,55656,56471,57947,56314,54428,52306,49487,51751,55705,50523,53146,52378,55050,57884,54066,58502,51673,49279,54976
